26-Jul-24 8:14:30 PM: # Cycle 00002 | Well B01, Position 00001 | Channel BRIGHT | Filter GFP | X:19905 Y:-119409 Z:6965
26-Jul-24 8:14:47 PM: # Cycle 00002 | Well D01, Position 00001 | Channel BRIGHT | Filter GFP | X:19905 Y:-83616 Z:7239
26-Jul-24 8:15:00 PM: # Cycle 00002 | Well D02, Position 00001 | Channel BRIGHT | Filter GFP | X:37682 Y:-83616 Z:7335
26-Jul-24 8:15:12 PM: # Cycle 00002 | Well D03, Position 00001 | Channel BRIGHT | Filter GFP | X:55456 Y:-83616 Z:7341
26-Jul-24 8:15:26 PM: # Cycle 00002 | Well D04, Position 00001 | Channel BRIGHT | Filter GFP | X:73233 Y:-83616 Z:7255
26-Jul-24 8:15:39 PM: # Cycle 00002 | Well D05, Position 00001 | Channel BRIGHT | Filter GFP | X:91008 Y:-83616 Z:7426
26-Jul-24 8:15:52 PM: # Cycle 00002 | Well D06, Position 00001 | Channel BRIGHT | Filter GFP | X:108785 Y:-83616 Z:7314
26-Jul-24 8:16:05 PM: # Cycle 00002 | Well D07, Position 00001 | Channel BRIGHT | Filter GFP | X:126560 Y:-83616 Z:7504
26-Jul-24 8:16:18 PM: # Cycle 00002 | Well D08, Position 00001 | Channel BRIGHT | Filter GFP | X:144337 Y:-83617 Z:7346
26-Jul-24 8:16:31 PM: # Cycle 00002 | Well D09, Position 00001 | Channel BRIGHT | Filter GFP | X:162113 Y:-83617 Z:7350
26-Jul-24 8:16:44 PM: # Cycle 00002 | Well D10, Position 00001 | Channel BRIGHT | Filter GFP | X:179888 Y:-83617 Z:7456
26-Jul-24 8:16:58 PM: # Cycle 00002 | Well D11, Position 00001 | Channel BRIGHT | Filter GFP | X:197665 Y:-83616 Z:7376
26-Jul-24 8:17:11 PM: # Cycle 00002 | Well D12, Position 00001 | Channel BRIGHT | Filter GFP | X:215442 Y:-83615 Z:7408
26-Jul-24 8:17:24 PM: # Cycle 00002 | Well E12, Position 00001 | Channel BRIGHT | Filter GFP | X:215437 Y:-65719 Z:7404
26-Jul-24 8:17:37 PM: # Cycle 00002 | Well E11, Position 00001 | Channel BRIGHT | Filter GFP | X:197665 Y:-65719 Z:7476
26-Jul-24 8:17:50 PM: # Cycle 00002 | Well E10, Position 00001 | Channel BRIGHT | Filter GFP | X:179888 Y:-65718 Z:7479
26-Jul-24 8:18:03 PM: # Cycle 00002 | Well E09, Position 00001 | Channel BRIGHT | Filter GFP | X:162113 Y:-65718 Z:7527
26-Jul-24 8:18:15 PM: # Cycle 00002 | Well E08, Position 00001 | Channel BRIGHT | Filter GFP | X:144334 Y:-65718 Z:7549
26-Jul-24 8:18:28 PM: # Cycle 00002 | Well E07, Position 00001 | Channel BRIGHT | Filter GFP | X:126559 Y:-65718 Z:7494
26-Jul-24 8:18:41 PM: # Cycle 00002 | Well E06, Position 00001 | Channel BRIGHT | Filter GFP | X:108783 Y:-65718 Z:7511
26-Jul-24 8:18:55 PM: # Cycle 00002 | Well E05, Position 00001 | Channel BRIGHT | Filter GFP | X:91006 Y:-65718 Z:7443
26-Jul-24 8:19:08 PM: # Cycle 00002 | Well E04, Position 00001 | Channel BRIGHT | Filter GFP | X:73232 Y:-65718 Z:7450
